Competition,Day,Date,HomeAway,Opponent,Result,Position,Minute,AtThisPoint,TypeOfGoal
LaLiga,18,1/15/17,A,Sevilla FC,2:1,CF,67',0:1,Penalty
Copa del Rey,Quarter-Finals,1/25/17,A,Celta de Vigo,2:2,CF,62',1:1,Direct free kick
LaLiga,20,1/29/17,H,Real Sociedad,3:0,LW,51',2:0,Right-footed shot
LaLiga,22,2/11/17,A,CA Osasuna,1:3,CF,24',0:1,Right-footed shot
LaLiga,16,2/22/17,A,Valencia,2:1,LW,44',2:1,Header
LaLiga,24,2/26/17,A,Villarreal,2:3,LW,74',2:2,Penalty
LaLiga,25,3/1/17,H,UD Las Palmas,3:3,LW,86',2:3,Penalty
LaLiga,25,3/1/17,H,UD Las Palmas,3:3,LW,89',3:3,Header
LaLiga,27,3/12/17,H,Real Betis,2:1,LW,41',1:1,Header
Champions League,Quarter-Finals,4/12/17,A,Bayern Munich,1:2,LW,47',1:1,Right-footed shot
Champions League,Quarter-Finals,4/12/17,A,Bayern Munich,1:2,LW,77',1:2,Right-footed shot
Champions League,Quarter-Finals,4/18/17,H,Bayern Munich,4:2  AET,CF,76',1:1,Header
Champions League,Quarter-Finals,4/18/17,H,Bayern Munich,4:2  AET,CF,105',2:2,Left-footed shot
Champions League,Quarter-Finals,4/18/17,H,Bayern Munich,4:2  AET,CF,109',3:2,Right-footed shot
LaLiga,35,4/29/17,H,Valencia,2:1,LW,27',1:0,Header
Champions League,Semi-Finals,5/2/17,H,Atlético Madrid,3:0,CF,10',1:0,Header
Champions League,Semi-Finals,5/2/17,H,Atlético Madrid,3:0,CF,73',2:0,Right-footed shot
Champions League,Semi-Finals,5/2/17,H,Atlético Madrid,3:0,CF,86',3:0,Right-footed shot
LaLiga,37,5/14/17,H,Sevilla FC,4:1,LW,23',2:0,Right-footed shot
LaLiga,37,5/14/17,H,Sevilla FC,4:1,LW,78',3:1,Left-footed shot
LaLiga,21,5/17/17,A,Celta de Vigo,1:4,CF,10',0:1,Left-footed shot
LaLiga,21,5/17/17,A,Celta de Vigo,1:4,CF,48',0:2,Left-footed shot
LaLiga,38,5/21/17,A,Málaga CF,0:2,CF,2',0:1,Right-footed shot
Champions League,Final,6/3/17,A,Juventus,1:4,CF,20',0:1,Right-footed shot
Champions League,Final,6/3/17,A,Juventus,1:4,CF,64',1:3,Right-footed shot
Supercopa,final,8/13/17,A,FC Barcelona,1:3,CF,80',1:2,Right-footed shot
Champions League,Group Stage,9/13/17,H,APOEL Nicosia,3:0,CF,12',1:0,Counter attack goal
Champions League,Group Stage,9/13/17,H,APOEL Nicosia,3:0,CF,51',2:0,Penalty
Champions League,Group Stage,9/26/17,A,Bor. Dortmund,1:3,CF,49',0:2,Left-footed shot
Champions League,Group Stage,9/26/17,A,Bor. Dortmund,1:3,CF,79',1:3,Right-footed shot
LaLiga,8,10/14/17,A,Getafe,1:2,CF,85',1:2,Right-footed shot
Champions League,Group Stage,10/17/17,H,Spurs,1:1,LW,43',1:1,Penalty
Champions League,Group Stage,11/1/17,A,Spurs,3:1,LW,80',3:1,Right-footed shot
Champions League,Group Stage,11/21/17,A,APOEL Nicosia,0:6,LW,49',0:5,Header
Champions League,Group Stage,11/21/17,A,APOEL Nicosia,0:6,LW,54',0:6,Left-footed shot
LaLiga,13,11/25/17,H,Málaga CF,3:2,CF,76',3:2,Penalty rebound
Champions League,Group Stage,12/6/17,H,Bor. Dortmund,3:2,LW,12',2:0,Right-footed shot
LaLiga,15,12/9/17,H,Sevilla FC,5:0,CF,23',2:0,Right-footed shot
LaLiga,15,12/9/17,H,Sevilla FC,5:0,CF,31',3:0,Penalty
Club World Cup,Semi-Finals,12/13/17,A,Al-Jazira,1:2,LW,53',1:1,Right-footed shot
Club World Cup,Final,12/16/17,H,Grêmio,1:0,LW,53',1:0,Direct free kick
LaLiga,20,1/21/18,H,Dep. La Coruña,7:1,LW,78',5:1,Left-footed shot
LaLiga,20,1/21/18,H,Dep. La Coruña,7:1,LW,84',6:1,Header
LaLiga,21,1/27/18,A,Valencia,1:4,LW,16',0:1,Penalty
LaLiga,21,1/27/18,A,Valencia,1:4,LW,38',0:2,Penalty
LaLiga,23,2/10/18,H,Real Sociedad,5:2,CF,27',2:0,Right-footed shot
LaLiga,23,2/10/18,H,Real Sociedad,5:2,CF,37',4:0,Header
LaLiga,23,2/10/18,H,Real Sociedad,5:2,CF,80',5:1,Tap-in
Champions League,last 16,2/14/18,H,Paris SG,3:1,LW,45',1:1,Penalty
Champions League,last 16,2/14/18,H,Paris SG,3:1,LW,83',2:1,Tap-in
LaLiga,24,2/18/18,A,Real Betis,3:5,CF,65',2:4,Right-footed shot
LaLiga,25,2/24/18,H,Alavés,4:0,CF,44',1:0,Left-footed shot
LaLiga,25,2/24/18,H,Alavés,4:0,CF,61',3:0,Right-footed shot
LaLiga,27,3/3/18,H,Getafe,3:1,CF,45'+1,2:0,Left-footed shot
LaLiga,27,3/3/18,H,Getafe,3:1,CF,78',3:1,Header
Champions League,last 16,3/6/18,A,Paris SG,1:2,CF,51',0:1,Header
LaLiga,28,3/10/18,A,SD Eibar,1:2,CF,33',0:1,Right-footed shot
LaLiga,28,3/10/18,A,SD Eibar,1:2,CF,84',1:2,Header
LaLiga,29,3/18/18,H,Girona,6:3,CF,11',1:0,Left-footed shot
LaLiga,29,3/18/18,H,Girona,6:3,CF,47',2:1,Left-footed shot
LaLiga,29,3/18/18,H,Girona,6:3,CF,64',4:1,Tap-in
LaLiga,29,3/18/18,H,Girona,6:3,CF,90'+1,6:3,Right-footed shot
Champions League,Quarter-Finals,4/3/18,A,Juventus,0:3,CF,3',0:1,Right-footed shot
Champions League,Quarter-Finals,4/3/18,A,Juventus,0:3,CF,64',0:2,Right-footed shot
LaLiga,31,4/8/18,H,Atlético Madrid,1:1,CF,53',1:0,Right-footed shot
Champions League,Quarter-Finals,4/11/18,H,Juventus,1:3,CF,90'+7,1:3,Penalty
LaLiga,33,4/18/18,H,Athletic,1:1,CF,87',1:1,Right-footed shot
LaLiga,36,5/6/18,A,FC Barcelona,2:2,LW,14',1:1,Right-footed shot
LaLiga,38,5/19/18,A,Villarreal,2:2,CF,32',0:2,Header
Serie A,4,9/16/18,H,Sassuolo,2:1,CF,50',1:0,Tap-in
Serie A,4,9/16/18,H,Sassuolo,2:1,CF,65',2:0,Left-footed shot
Serie A,5,9/23/18,A,Frosinone,0:2,LW,81',0:1,Left-footed shot
Serie A,8,10/6/18,A,Udinese Calcio,0:2,LW,37',0:2,Left-footed shot
Serie A,9,10/20/18,H,Genoa,1:1,LW,18',1:0,Tap-in
Serie A,10,10/27/18,A,FC Empoli,1:2,CF,54',1:1,Penalty
Serie A,10,10/27/18,A,FC Empoli,1:2,CF,70',1:2,Right-footed shot
Champions League,Group Stage,11/7/18,H,Man Utd,1:2,CF,65',1:0,Right-footed shot
Serie A,12,11/11/18,A,AC Milan,0:2,LW,81',0:2,Tap-in
Serie A,13,11/24/18,H,SPAL,2:0,CF,29',1:0,Left-footed shot
Serie A,14,12/1/18,A,Fiorentina,0:3,LW,79',0:3,Penalty
Serie A,16,12/15/18,A,Torino,0:1,LW,70',0:1,Penalty
Serie A,18,12/26/18,A,Atalanta,2:2,CF,78',2:2,Header
Serie A,19,12/29/18,H,Sampdoria,2:1,LW,2',1:0,Right-footed shot
Serie A,19,12/29/18,H,Sampdoria,2:1,LW,65',2:1,Penalty
Supercoppa Italiana,Final,1/16/19,H,AC Milan,1:0,LW,61',1:0,Header
Serie A,21,1/27/19,A,Lazio,1:2,LW,88',1:2,Penalty
Serie A,22,2/2/19,H,Parma,3:3,LW,36',1:0,Right-footed shot
Serie A,22,2/2/19,H,Parma,3:3,LW,66',3:1,Header
Serie A,23,2/10/19,A,Sassuolo,0:3,LW,70',0:2,Header
Serie A,24,2/15/19,H,Frosinone,3:0,LW,63',3:0,Right-footed shot
Champions League,last 16,3/12/19,H,Atlético Madrid,3:0,CF,27',1:0,Header
Champions League,last 16,3/12/19,H,Atlético Madrid,3:0,CF,49',2:0,Header
Champions League,last 16,3/12/19,H,Atlético Madrid,3:0,CF,86',3:0,Penalty
Champions League,Quarter-Finals,4/10/19,A,Ajax,1:1,LW,45',0:1,Header
Champions League,Quarter-Finals,4/16/19,H,Ajax,1:2,LW,28',1:0,Header
Serie A,34,4/27/19,A,Inter,1:1,CF,62',1:1,Left-footed shot
Serie A,35,5/3/19,H,Torino,1:1,CF,84',1:1,Header
