Competition,Day,Date,HomeAway,Opponent,Result,Position,Minute,AtThisPoint,TypeOfGoal
LaLiga,22,2/2/19,H,Valencia,2:2,RW,64',2:2,Left-footed shot
LaLiga,24,2/16/19,H,Real Valladolid,1:0,RW,43',1:0,Penalty
LaLiga,25,2/23/19,A,Sevilla FC,2:4,RW,26',1:1,Left-footed shot
LaLiga,25,2/23/19,A,Sevilla FC,2:4,RW,67',2:2,Right-footed shot
LaLiga,25,2/23/19,A,Sevilla FC,2:4,RW,85',2:3,Left-footed shot
LaLiga,27,3/9/19,H,Rayo Vallecano,3:1,RW,51',2:1,Penalty
Champions League,last 16,3/13/19,H,Olympique Lyon,5:1,RW,18',1:0,Penalty
Champions League,last 16,3/13/19,H,Olympique Lyon,5:1,RW,78',3:1,Right-footed shot
LaLiga,28,3/17/19,A,Real Betis,1:4,SS,18',0:1,Direct free kick
LaLiga,28,3/17/19,A,Real Betis,1:4,SS,45'+2,0:2,Left-footed shot
LaLiga,28,3/17/19,A,Real Betis,1:4,SS,85',1:4,Left-footed shot
LaLiga,29,3/30/19,H,Espanyol,2:0,RW,71',1:0,Direct free kick
LaLiga,29,3/30/19,H,Espanyol,2:0,RW,89',2:0,Left-footed shot
LaLiga,30,4/2/19,A,Villarreal,4:4,RW,90',4:3,Direct free kick
LaLiga,31,4/6/19,H,Atlético Madrid,2:0,RW,87',2:0,Left-footed shot
Champions League,Quarter-Finals,4/16/19,H,Man Utd,3:0,RW,16',1:0,Left-footed shot
Champions League,Quarter-Finals,4/16/19,H,Man Utd,3:0,RW,20',2:0,Right-footed shot
LaLiga,35,4/27/19,H,Levante,1:0,RW,62',1:0,Left-footed shot
Champions League,Semi-Finals,5/1/19,H,Liverpool,3:0,RW,75',2:0,Left-footed shot
Champions League,Semi-Finals,5/1/19,H,Liverpool,3:0,RW,82',3:0,Direct free kick
